    INFO: 2026-08-12 00:22:23,077:               log.py:   20: Logging to C:\Users\GUEST USER\Documents\spintronics\mdpdf.log
   DEBUG: 2026-08-12 00:22:23,078:               cli.py:  103: Spintronics Act One (Complete Scanned Copy)_removed.pdf_by_PaddleOCR-VL-1.6.md
    INFO: 2026-08-12 00:22:23,085:         converter.py:   14: Spintronics Act One (Complete Scanned Copy)_removed.pdf_by_PaddleOCR-VL-1.6.md
   DEBUG: 2026-08-12 00:22:23,157:      pdf_renderer.py:  470: printSegment: SPINTRONICS ACT ONE
   DEBUG: 2026-08-12 00:22:23,164:      pdf_renderer.py:  470: printSegment: Initial markdown output from OCR and image capture by 
   DEBUG: 2026-08-12 00:22:23,172:      pdf_renderer.py:  470: printSegment: PaddleOCR-VL-1.6
   DEBUG: 2026-08-12 00:22:23,176:      pdf_renderer.py:  470: printSegment: Manual text revisions, formatting changes, and image removal or replacement captures by @ABagram
   DEBUG: 2026-08-12 00:22:23,178:      pdf_renderer.py:  470: printSegment: Tutorial 1: The battery
   DEBUG: 2026-08-12 00:22:23,179:      pdf_renderer.py:  470: printSegment: Spintronic circuits are powered by a 
   DEBUG: 2026-08-12 00:22:23,179:      pdf_renderer.py:  470: printSegment: battery
   DEBUG: 2026-08-12 00:22:23,182:      pdf_renderer.py:  470: printSegment: . The battery pulls chains through circuits, just like electrical batteries
   DEBUG: 2026-08-12 00:22:23,183:      pdf_renderer.py:  470: printSegment: pull electrons through wires.
   DEBUG: 2026-08-12 00:22:23,187:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,191:      pdf_renderer.py:  470: printSegment: src="https://i.imgur.com/nnQn38z.png" alt="Image" width="70%"
   DEBUG: 2026-08-12 00:22:23,192:      pdf_renderer.py:  470: printSegment: /></div>
   DEBUG: 2026-08-12 00:22:23,193:      pdf_renderer.py:  470: printSegment: Pull the string back and let it fly
   DEBUG: 2026-08-12 00:22:23,194:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,195:      pdf_renderer.py:  470: printSegment:  It got going too fast, didn
   DEBUG: 2026-08-12 00:22:23,196:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,196:      pdf_renderer.py:  470: printSegment: t it?
   DEBUG: 2026-08-12 00:22:23,197:      pdf_renderer.py:  470: printSegment: Good thing I built a circuit breaker into it
   DEBUG: 2026-08-12 00:22:23,198:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,199:      pdf_renderer.py:  470: printSegment: Try it again. This time, after you pull back the string, 
   DEBUG: 2026-08-12 00:22:23,201:      pdf_renderer.py:  470: printSegment: use your fingers to add some resistance to the output
   DEBUG: 2026-08-12 00:22:23,201:      pdf_renderer.py:  470: printSegment: sprockets
   DEBUG: 2026-08-12 00:22:23,203:      pdf_renderer.py:  470: printSegment: . Can you release all of the energy in the battery without triggering the circuit breaker?
   DEBUG: 2026-08-12 00:22:23,204:      pdf_renderer.py:  470: printSegment: From now on, we
   DEBUG: 2026-08-12 00:22:23,205:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,206:      pdf_renderer.py:  470: printSegment: ll have to avoid 
   DEBUG: 2026-08-12 00:22:23,206:      pdf_renderer.py:  470: printSegment: shorts
   DEBUG: 2026-08-12 00:22:23,207:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,218:      pdf_renderer.py:  470: printSegment:  A short is wherever the battery has a path to release its energy without any
   DEBUG: 2026-08-12 00:22:23,221:      pdf_renderer.py:  470: printSegment: resistance. How do you add resistance to the battery without using your fingers? With a resistor.
   DEBUG: 2026-08-12 00:22:23,222:      pdf_renderer.py:  470: printSegment: NEW PART UNLOCKED
   DEBUG: 2026-08-12 00:22:23,225:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,226:      pdf_renderer.py:  470: printSegment: src="https://i.imgur.com/cpBhm2D.png" alt="Image" width="30%"
   DEBUG: 2026-08-12 00:22:23,227:      pdf_renderer.py:  470: printSegment: /></div>
   DEBUG: 2026-08-12 00:22:23,228:      pdf_renderer.py:  470: printSegment: <p style="text-align: center;"><b>THE SPINTRONIC RESISTOR</b></p>
   DEBUG: 2026-08-12 00:22:23,229:      pdf_renderer.py:  470: printSegment: PURPOSE:
   DEBUG: 2026-08-12 00:22:23,230:      pdf_renderer.py:  470: printSegment: RESISTORS RESIST THE FLOW OF CHAIN.
   DEBUG: 2026-08-12 00:22:23,231:      pdf_renderer.py:  470: printSegment: DETAIL:
   DEBUG: 2026-08-12 00:22:23,232:      pdf_renderer.py:  470: printSegment: RESISTANCE IS MEASURED IN 
   DEBUG: 2026-08-12 00:22:23,233:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-08-12 00:22:23,234:      pdf_renderer.py:  470: printSegment: SPIN OHMS.
   DEBUG: 2026-08-12 00:22:23,234:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-08-12 00:22:23,237:      pdf_renderer.py:  470: printSegment:  THE HIGHER THE SPIN OHM VALUE OF A RESISTOR,
